baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000023043.7	433.637325930854	6.16065964815566	0.293527244185097	20.9883742316974	8.37620790052648e-98	1.95964305765805e-95
ENSMUSG00000022055.7	430.697802344655	5.57904684237805	0.265884462085859	20.9829743288138	9.38368042596682e-98	2.17011092149945e-95
ENSMUSG00000041439.15	889.185103823843	2.84872647002319	0.136124322970843	20.9273876104668	3.01577669765432e-97	6.89516217690966e-95
ENSMUSG00000044646.15	637.806416981009	3.26754473316039	0.156936136243594	20.8208562500135	2.80134955778049e-96	6.33293855084759e-94
ENSMUSG00000016028.11	383.569488357635	6.34797768385254	0.30503666057504	20.8105401884667	3.47408327630156e-96	7.7665061687986e-94
ENSMUSG00000017861.11	456.091207607516	3.32650736694793	0.160071125848199	20.7814329368969	6.37279347470412e-96	1.40901763418733e-93
ENSMUSG00000029832.16	326.537140716059	4.89284108831151	0.235976844093783	20.7344119169887	1.6951416648704e-95	3.70720111926005e-93
ENSMUSG00000021678.9	345.360204606697	4.21980828613248	0.203979255026735	20.6874384631878	4.49464910736007e-95	9.72390753119189e-93
ENSMUSG00000057963.9	695.809941882806	3.18800090125693	0.154651915213596	20.6140408727163	2.0535187896723e-94	4.39540404768157e-92
ENSMUSG00000041362.17	466.511001026775	3.37964613559452	0.164456076888956	20.5504484816121	7.62554819980766e-94	1.61501083979084e-91
ENSMUSG00000025582.4	426.265549624991	3.10582923026861	0.151368444310423	20.518340162757	1.47668588295456e-93	3.09488749635893e-91
ENSMUSG00000028179.12	532.179337323592	3.04133926466741	0.148324792958282	20.5045913364115	1.95908208513366e-93	4.0635805724628e-91
ENSMUSG00000030353.15	648.00561642272	2.66649886470153	0.130075668942879	20.4995975525022	2.17081244891608e-93	4.45681086450935e-91
ENSMUSG00000024812.11	1862.18405293777	2.053607949569	0.100227058722206	20.4895561712619	2.66814374748408e-93	5.42253052518986e-91
ENSMUSG00000030093.7	370.134570383582	6.52205929040344	0.319125176657886	20.4373072620194	7.79214537494064e-93	1.56777964943806e-90
ENSMUSG00000071847.13	988.582557225438	2.16508225512512	0.106078743434973	20.4101423623322	1.35888339554678e-92	2.70700335825754e-90
ENSMUSG00000039457.4	329.16165104914	3.88105953479598	0.190761582081176	20.3450794046385	5.13288888383748e-92	1.01248749355696e-89
ENSMUSG00000022865.14	1036.30171338332	3.4115837191329	0.167804609410785	20.3306913386471	6.88259350718076e-92	1.33151712850458e-89
ENSMUSG00000028128.13	1810.16129416664	-2.09138760313997	0.10286646128846	-20.3310931176613	6.82646759927472e-92	1.33151712850458e-89
ENSMUSG00000102752.1	294.91967734731	4.09868476160228	0.202168193873168	20.2736379203824	2.19792796703399e-91	4.21164863778323e-89
